TIMESTAMP: 2019-05-06_06_20_21

  Balintawak             0             0
     Kaingin             0             0
       Muñoz             0             0
 Bansalangin             0             0
       North             0             0
     Trinoma             0             0
      Quezon             2             0
         NIA             2             0
       Timog             2             0
    Kamuning             2             1
         New             2             0
       Monte             2             0
      Aurora             2             0
          Mc             2             0
          P.             2             0
        Main             2             0
    Santolan             2             0
       White             2             0
     Ortigas             0             0
          SM             0             0
        Shaw             0             0
    Reliance             0             0
     Pioneer             0             0
   Guadalupe             1             1
      Orense             0             0
    Kalayaan             0             0
     Buendia             1             1
       Ayala             0             0
      Arnaiz             0             1
  Magallanes             0             2
     Malibay             0             1
       Tramo             0             1
        Taft             0             2
        F.B.             1             2
       Roxas             1             2
   Macapagal             0             2
        Mall             0             0
