TIMESTAMP: 2019-04-29_13_31_04

  Balintawak             0             0
     Kaingin             1             0
       Muñoz             1             0
 Bansalangin             1             1
       North             0             0
     Trinoma             0             0
      Quezon             0             0
         NIA             0             0
       Timog             0             0
    Kamuning             0             0
         New             0             0
       Monte             0             0
      Aurora             0             0
          Mc             0             0
          P.             1             0
        Main             2             0
    Santolan             2             0
       White             2             0
     Ortigas             2             0
          SM             2             1
        Shaw             1             0
    Reliance             1             1
     Pioneer             1             1
   Guadalupe             1             2
      Orense             0             2
    Kalayaan             0             0
     Buendia             1             0
       Ayala             0             0
      Arnaiz             0             0
  Magallanes             1             0
     Malibay             2             0
       Tramo             2             0
        Taft             2             2
        F.B.             0             2
       Roxas             1             1
   Macapagal             1             2
        Mall             0             0
